step,train_loss,id_accuracy,ood_accuracy,id_loss,ood_loss,ground_truth_sigma
500,0.045110043,0.9146323800086975,0.6142650842666626,0.665132999420166,2.9162187576293945,0.671597789114815
1000,0.00014019181,0.9188300967216492,0.6106619238853455,0.9201570749282837,3.7671141624450684,0.664608098999112
1500,4.2401432e-05,0.9192056059837341,0.6095941662788391,0.9602463245391846,4.031259536743164,0.6631749875224611
2000,0.0073752417,0.907640814781189,0.6098942756652832,0.8394595384597778,3.5467755794525146,0.6719555420304831
2500,0.012426754,0.9202529788017273,0.629601240158081,0.7068291902542114,2.7658400535583496,0.6841610455615069
3000,0.00018981121,0.9214864373207092,0.6013122797012329,0.7910182476043701,3.373732566833496,0.6525459902042545
3500,0.001152643,0.917887270450592,0.6914332509040833,0.849403440952301,2.97542142868042,0.753287765462373
4000,0.013981046,0.9139496088027954,0.6127446889877319,0.6681627631187439,2.862990379333496,0.6704359661473908
4500,0.0055666952,0.916819155216217,0.60405433177948,0.7424883246421814,3.5378575325012207,0.6588587600321499
5000,0.00078035623,0.9198635816574097,0.6224883794784546,0.7239307165145874,3.1086864471435547,0.6767181480941504
